,타이틀,배급사,이미지링크,발매일
0,젤다의 전설 티어스 오브 더 킹덤,한국닌텐도,https://images.ctfassets.net/sjvy5j5nlcjk/70010000063716283ccfb5f06011ed8210978a01e844eb/c10e59c1e1b65273cf6c36c1f77fb72e/b6bc7bd67a7ea937ea28b6383752d88a7628afb1c1ef196b1f83659c4447fa85.jpg?w=320&fm=webp,2023.5.12
1,베요네타 오리진: 세레자와 길을 잃은 악마,한국닌텐도,https://images.ctfassets.net/sjvy5j5nlcjk/6pl79Q7NKzcjhwXbLMhRjZ/89be8c9fbd6a7b5b97e129dcd94d42ab/0317_________________________________________________________.jpg?w=320&fm=webp,2023.3.17
2,별의 커비 Wii 디럭스,한국닌텐도,https://images.ctfassets.net/sjvy5j5nlcjk/14qSoGJIro8r6IodqDuX3w/f0c19426d1c3e2eb43ba897a5acfd6cf/549756ae90d55f86634a883fd3452460.jpg?w=320&fm=webp,2023.2.24
3,파이어 엠블렘 Engage,한국닌텐도,https://images.ctfassets.net/sjvy5j5nlcjk/6Xu0AcBz5dz2drDcrb6Y9i/1d09c53266bbead41df86f083112d739/b3d35fb0683afa1f5706fe40f3c890f4.png?w=320&fm=webp,2023.1.20
4,스플래툰 3,한국닌텐도,https://images.ctfassets.net/sjvy5j5nlcjk/o3sQZijy2Zkm5rGCXHTmt/1b60ad33c09c28d13e56e764e8c5f72a/e2739d219ff28005e41eac4ba3dd92ba.jpg?w=320&fm=webp,2022.9.9
5,Nintendo Switch Sports,한국닌텐도,https://images.ctfassets.net/sjvy5j5nlcjk/60c8YIxldRafuhPU59Nbid/6a7f6014dd1bb69ee1ec60e8eab91716/61a55c3c2004d8dd30a6a4047e9b007d.jpg?w=320&fm=webp,2022.4.29
6,별의 커비 디스커버리,한국닌텐도,https://images.ctfassets.net/sjvy5j5nlcjk/5A4KTKAi0RVvk7v3nNzOtj/df91669c0af7ec02341647b27786822a/146074fcb32b408c590de59e155c0b2d.jpg?w=320&fm=webp,2022.3.25
7,링 피트 어드벤처,한국닌텐도,https://images.ctfassets.net/sjvy5j5nlcjk/5eq8WaObm2WSQ154i5Xp5j/af80e764eb9ca99d09c4a05a12166f23/427.jpg?w=320&fm=webp,2019.10.18
8,목장이야기 Welcome! 원더풀 라이프,SEGA,https://images.ctfassets.net/sjvy5j5nlcjk/70010000059043332b590fd3ed11ed8acd3be6b939efca/278d14829a2c635207d4af4a05e349ba/2c1b2483461cd0ece56a28a0fa9b52d451b5a0ecf6fdade50aed3b22b6c108a1.jpg?w=320&fm=webp,2023.6.22
9,SOULVARS,SHUEISHA GAMES,https://images.ctfassets.net/sjvy5j5nlcjk/700100000618728ac321ddf74911ed8dff8fd91c90c347/3e09d0db1850b2520983ae4c5d482190/e38ff3f39a74086f1a7ed07454f8618e234eed9280177f4402e89578af131f2a.jpg?w=320&fm=webp,2023.6.27
10,리틀 프렌즈: 강아지 섬,Fireshine Games,https://images.ctfassets.net/sjvy5j5nlcjk/7001000006269825416f6df4ee11edb0d3ef27b6bc44c0/568cbb06b44b7d741ae82704614cf0f4/4377982edcfe2f32737d10dc976235590e5bbe14ae1f97b2b05ab59edff84360.jpg?w=320&fm=webp,2023.6.29
11,Everybody 1-2-Switch!(에브리바디 원 투 스위치),한국닌텐도,https://images.ctfassets.net/sjvy5j5nlcjk/70010000068161b2272e61018011ee845899837c22c437/7fb1ab2dca1c34aaf3057b33893fcafb/dc7b75f2bc0b3661bcf59290c505dded0e742329c38d4169962cfb0f39033a49.jpg?w=320&fm=webp,2023.6.30
12,Ghost Trick,CAPCOM,https://images.ctfassets.net/sjvy5j5nlcjk/14E5bOJMHkvY17BoImvSlS/f8decc479a01dd510d16dda673e84db6/b554cd3a0aa3a1ad2fa59ea88ca9d2bb72e56551ab7440205f63390beee5ce1a.jpg?w=320&fm=webp,2023.6.30
13,마리의 아틀리에 Remake ~잘부르그의 연금술사~,KOEI TECMO GAMES,https://images.ctfassets.net/sjvy5j5nlcjk/700100000593797e06b632deed11ed8c52333cbe34a890/f5b7c4bf60ce9f767ba8cd3b09102ac0/2f7c4c54b577d1146448f39e4cc4916e8b08e684574df4f519c715109a91fe05.jpg?w=320&fm=webp,2023.7.13
14,도쿄 재너두 eX+ for Nintendo Switch,Clouded Leopard Entertainment,https://images.ctfassets.net/sjvy5j5nlcjk/700100000664948526dae30b4511ee8c9fe1beaeda9541/9ceb1f30829dd0a259462095260af24a/5c76fe639f37ad21025ee63165f74399052ac4e58a0e3a03ffb9d3e5321868e8.jpg?w=320&fm=webp,2023.7.13
