,토픽 제목,번역 결과
0,『スプラトゥーン3』の新シーズン「2023夏 Sizzle Season」は6月1日開幕。,"""Splatoon 3"" ""2023 Summer Sizle 시즌""의 새로운 시즌은 6 월 1 일에 문을 열 것입니다."
1,『ゼルダの伝説　ティアーズ オブ ザ キングダム』は本日発売。初心者向けの「冒険の手引き」や「アイコンパーツ」も登場。,"""왕국의 젤다의 전설""이 오늘 발표 될 것입니다.초보자를위한 ""Adventure Guidance""및 ""Icon Part""도 나타납니다."
2,映画『ザ・スーパーマリオブラザーズ・ムービー』を4Dで体験しませんか？,"4D와 함께 영화 ""The Super Mario Bros. 영화""를 경험 하시겠습니까?"
3,『ピクミン４』の発売日が7月21日に決定。本日より予約開始。,"""Pikmin 4""의 출시일은 7 월 21 일에 결정됩니다.오늘 예약이 시작됩니다."
4,『ベヨネッタ3』の「開発者インタビュー映像」全4回を、プラチナゲームズ開発ブログにて公開。,"""Bayonetta 3"" ""개발자 인터뷰 비디오""는 Platinum Games Development 블로그에서 4 번 출시되었습니다."
5,お子さんと楽しむ『世界のアソビ大全51』。世界のアソビをNintendo Switchで。,"""세계의 Asobi Taizen 51""은 자녀와 함께 즐길 수 있습니다.세계의 아소비는 닌텐도 스위치입니다."
6,イチからはじめる『マリオカート８ デラックス』。ライバルたちに差をつける基本テクニックを紹介。,"Ichi에서 시작하는 ""Mario Kart 8 Deluxe"".다른 라이벌을 만드는 기본 기술을 소개합니다."
7,イチからはじめる『リングフィット アドベンチャー』。「アドベンチャー」「カスタム」モードを使いこなすコツをご紹介。,"""Ring Fit Adventure""는 Ichi에서 시작합니다.""Adventure""및 ""Custom""모드를 마스터하는 팁을 소개합니다."
8,ニンテンドーeショップ新作入荷情報 6/9（金）号。,Nintendo e 새로운 끈적 끈적한 정보 6/9 (Fri).
9,マリオカートで「お母さんに勝ちたい。」「ニンテンドー みんなのチャレンジ」の第7回が公開。,"마리오 카트 (Mario Kart)에서 ""나는 어머니를 이기고 싶다."""
10,Nintendo Switch『モンスターハンターライズ：サンブレイク』のボーナスアップデート（Ver.16）が本日配信。最後の追加モンスター「原初を刻むメル・ゼナ」が登場。,"Nintendo Switch의 보너스 업데이트 (Ver.16) ""Monster Hunter Rise : Sun Break""가 오늘 배포됩니다.마지막 추가 괴물 인 ""Mel Zena, The Original""이 나타났습니다."
11,Nintendo Switch『Minecraft』最新の大型アップデート「Trails & Tales（旅路と物語）」が、本日より配信開始。,"Nintendo Switch ""Minecraft""최신 대규모 업데이트 ""Trails & Tales""가 현재 제공됩니다."
12,「あつまれ どうぶつの森 × 上越市立水族博物館 うみがたり　海の生きもの ふれあい展」開催決定。,"""Atsumare Animal Crossing X Joetsu City Aquarium Museum Umigatari Sea Creatures Fureai 전시회""가 열릴 것입니다."
13,福岡天神にて「スプラトゥーン3 イカす天神ウォーク」開催決定。,"""Splatoon 3 Ikasu Tenjin Walk""는 Fukuoka Tenjin에서 개최됩니다."
14,【6月6日追加】「ファミリーコンピュータ＆スーパーファミコン＆ゲームボーイ Nintendo Switch Online」追加タイトルが配信開始。,"[6 월 6 일 추가] ""Family Computer & Super Nintendo & Game Boy Online""의 추가 타이틀이 배포됩니다."
